video_id,frame_timestamp,entity_box_x1,entity_box_y1,entity_box_x2,entity_box_y2,label,entity_id,score
Seq21-2P-S1M1,9.8,0.6527777777777778,0.3111111111111111,0.7097222222222223,0.4311111111111111,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.13354605
Seq21-2P-S1M1,9.84,0.6486111111111111,0.3133333333333333,0.7055555555555556,0.4333333333333333,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.12311216
Seq21-2P-S1M1,9.88,0.6513888888888889,0.3155555555555555,0.7083333333333334,0.4355555555555555,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.081816025
Seq21-2P-S1M1,9.92,0.6569444444444444,0.3155555555555555,0.7138888888888889,0.4355555555555555,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.04916573
Seq21-2P-S1M1,9.96,0.65,0.3155555555555555,0.7069444444444445,0.4355555555555555,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.023427501
Seq21-2P-S1M1,10.0,0.6513888888888889,0.3177777777777777,0.7083333333333334,0.4377777777777777,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.010759665
Seq21-2P-S1M1,10.04,0.6458333333333334,0.32,0.7027777777777777,0.44,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0040766625
Seq21-2P-S1M1,10.08,0.6430555555555556,0.32,0.7,0.44,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0030543865
Seq21-2P-S1M1,10.12,0.6458333333333334,0.3133333333333333,0.7027777777777777,0.4333333333333333,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0016248309
Seq21-2P-S1M1,10.16,0.6444444444444445,0.3244444444444444,0.7013888888888888,0.4444444444444444,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.00236566
Seq21-2P-S1M1,10.2,0.6472222222222223,0.32,0.7041666666666667,0.44,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0036142012
Seq21-2P-S1M1,10.24,0.6486111111111111,0.3111111111111111,0.7055555555555556,0.4311111111111111,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0048436206
Seq21-2P-S1M1,10.28,0.65,0.3155555555555555,0.7069444444444445,0.4355555555555555,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.010060947
Seq21-2P-S1M1,10.32,0.6458333333333334,0.3088888888888889,0.7027777777777777,0.4288888888888889,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.01874937
Seq21-2P-S1M1,10.36,0.6458333333333334,0.3177777777777777,0.7027777777777777,0.4377777777777777,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.024981447
Seq21-2P-S1M1,10.4,0.6444444444444445,0.3088888888888889,0.7013888888888888,0.4288888888888889,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.028122952
Seq21-2P-S1M1,10.44,0.6472222222222223,0.3177777777777777,0.7041666666666667,0.4377777777777777,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.030679228
Seq21-2P-S1M1,10.48,0.6430555555555556,0.3133333333333333,0.7,0.4333333333333333,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.02340158
Seq21-2P-S1M1,10.52,0.6430555555555556,0.32,0.7,0.44,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.01670692
Seq21-2P-S1M1,10.56,0.6402777777777777,0.3177777777777777,0.6972222222222222,0.4377777777777777,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.010938308
Seq21-2P-S1M1,10.6,0.6416666666666667,0.3155555555555555,0.6986111111111111,0.4355555555555555,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0036061052
Seq21-2P-S1M1,10.64,0.6416666666666667,0.32,0.6986111111111111,0.44,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.002287481
Seq21-2P-S1M1,10.68,0.6416666666666667,0.3222222222222222,0.6986111111111111,0.4422222222222222,SPEAKING_AUDIBLE,Seq21-2P-S1M1_2_1,0.0013432815
